Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.004453,0.497154,0.698394,0.022857,0.447390,0.675053,0.019588,0.454000,0.733768
0.010000,0.004472,0.497129,0.698512,0.022899,0.447332,0.675231,0.019574,0.453975,0.733910
0.020000,0.004500,0.497108,0.698631,0.022940,0.447320,0.675363,0.019548,0.453949,0.734046
0.030000,0.004527,0.497099,0.698735,0.022991,0.447315,0.675499,0.019523,0.453929,0.734163
0.040000,0.004526,0.497095,0.698837,0.023035,0.447317,0.675630,0.019492,0.453914,0.734277
0.050000,0.004537,0.497083,0.698940,0.023075,0.447335,0.675765,0.019467,0.453912,0.734389
0.060000,0.004531,0.497069,0.699040,0.023126,0.447334,0.675896,0.019430,0.453916,0.734498
0.070000,0.004533,0.497091,0.699122,0.023149,0.447346,0.676007,0.019392,0.453911,0.734603
0.080000,0.004525,0.497097,0.699207,0.023181,0.447372,0.676121,0.019353,0.453930,0.734702
0.090000,0.004503,0.497126,0.699304,0.023181,0.447394,0.676233,0.019314,0.453953,0.734810
0.100000,0.004480,0.497141,0.699373,0.023192,0.447429,0.676323,0.019266,0.453983,0.734914
0.110000,0.004461,0.497156,0.699438,0.023202,0.447449,0.676409,0.019230,0.454012,0.734985
0.120000,0.004439,0.497191,0.699515,0.023204,0.447446,0.676509,0.019185,0.454044,0.735058
0.130000,0.004404,0.497214,0.699577,0.023194,0.447482,0.676585,0.019122,0.454064,0.735135
0.140000,0.004376,0.497242,0.699644,0.023194,0.447500,0.676658,0.019080,0.454083,0.735216
0.150000,0.004342,0.497260,0.699728,0.023189,0.447520,0.676731,0.019039,0.454098,0.735287
0.160000,0.004315,0.497275,0.699788,0.023191,0.447549,0.676801,0.019002,0.454105,0.735352
0.170000,0.004301,0.497282,0.699851,0.023197,0.447553,0.676874,0.018963,0.454120,0.735435
0.180000,0.004293,0.497306,0.699918,0.023204,0.447568,0.676928,0.018944,0.454132,0.735498
0.190000,0.004291,0.497309,0.699981,0.023230,0.447566,0.676987,0.018935,0.454119,0.735551
0.200000,0.004301,0.497304,0.700031,0.023241,0.447573,0.677037,0.018928,0.454113,0.735605
0.210000,0.004318,0.497294,0.700084,0.023264,0.447555,0.677091,0.018928,0.454095,0.735657
0.220000,0.004353,0.497285,0.700138,0.023302,0.447550,0.677135,0.018936,0.454080,0.735702
0.230000,0.004384,0.497262,0.700190,0.023332,0.447537,0.677188,0.018957,0.454059,0.735754
0.240000,0.004424,0.497240,0.700240,0.023368,0.447488,0.677243,0.018977,0.454032,0.735798
0.250000,0.004469,0.497230,0.700279,0.023405,0.447454,0.677283,0.018995,0.453998,0.735841
0.260000,0.004520,0.497188,0.700314,0.023455,0.447408,0.677318,0.019030,0.453970,0.735886
0.270000,0.004591,0.497171,0.700341,0.023511,0.447380,0.677344,0.019053,0.453925,0.735899
0.280000,0.004649,0.497146,0.700352,0.023566,0.447327,0.677364,0.019103,0.453881,0.735928
0.290000,0.004707,0.497114,0.700357,0.023616,0.447278,0.677375,0.019134,0.453857,0.735933
0.300000,0.004768,0.497092,0.700344,0.023667,0.447240,0.677381,0.019169,0.453810,0.735923
0.310000,0.004839,0.497055,0.700336,0.023736,0.447202,0.677363,0.019208,0.453772,0.735911
0.320000,0.004911,0.497034,0.700307,0.023782,0.447157,0.677350,0.019248,0.453737,0.735895
0.330000,0.004981,0.496996,0.700271,0.023826,0.447116,0.677322,0.019310,0.453680,0.735862
0.340000,0.005038,0.496977,0.700239,0.023877,0.447075,0.677297,0.019358,0.453645,0.735820
0.350000,0.005097,0.496932,0.700185,0.023909,0.447047,0.677253,0.019401,0.453616,0.735771
0.360000,0.005157,0.496910,0.700143,0.023937,0.447004,0.677203,0.019435,0.453591,0.735722
0.370000,0.005194,0.496881,0.700087,0.023971,0.446965,0.677142,0.019472,0.453562,0.735661
0.380000,0.005243,0.496858,0.700023,0.023988,0.446941,0.677088,0.019514,0.453549,0.735596
0.390000,0.005261,0.496823,0.699940,0.023998,0.446933,0.677015,0.019564,0.453537,0.735517
0.400000,0.005279,0.496815,0.699890,0.024009,0.446921,0.676948,0.019593,0.453526,0.735454
0.410000,0.005307,0.496792,0.699802,0.024018,0.446923,0.676879,0.019628,0.453514,0.735386
0.420000,0.005338,0.496793,0.699745,0.024029,0.446917,0.676811,0.019655,0.453510,0.735317
0.430000,0.005366,0.496808,0.699685,0.024032,0.446917,0.676738,0.019691,0.453512,0.735244
0.440000,0.005389,0.496804,0.699637,0.024036,0.446925,0.676661,0.019738,0.453485,0.735178
0.450000,0.005406,0.496799,0.699585,0.024054,0.446922,0.676588,0.019795,0.453453,0.735093
0.460000,0.005423,0.496791,0.699525,0.024067,0.446933,0.676491,0.019839,0.453437,0.735012
0.470000,0.005446,0.496783,0.699472,0.024082,0.446938,0.676396,0.019873,0.453422,0.734935
0.480000,0.005486,0.496756,0.699406,0.024085,0.446924,0.676311,0.019911,0.453394,0.734858
0.490000,0.005521,0.496734,0.699346,0.024110,0.446895,0.676228,0.019959,0.453353,0.734778
0.500000,0.005560,0.496698,0.699277,0.024122,0.446874,0.676137,0.019988,0.453329,0.734707
0.510000,0.005601,0.496670,0.699221,0.024134,0.446846,0.676038,0.020033,0.453294,0.734642
0.520000,0.005633,0.496659,0.699153,0.024135,0.446829,0.675969,0.020070,0.453264,0.734573
0.530000,0.005661,0.496645,0.699088,0.024151,0.446808,0.675890,0.020104,0.453230,0.734495
0.540000,0.005678,0.496622,0.699024,0.024155,0.446791,0.675815,0.020130,0.453228,0.734426
0.550000,0.005693,0.496609,0.698956,0.024156,0.446763,0.675742,0.020158,0.453205,0.734346
0.560000,0.005695,0.496591,0.698863,0.024148,0.446741,0.675650,0.020183,0.453188,0.734273
0.570000,0.005696,0.496577,0.698779,0.024160,0.446709,0.675566,0.020195,0.453184,0.734191
0.580000,0.005692,0.496582,0.698674,0.024137,0.446697,0.675474,0.020194,0.453183,0.734097
0.590000,0.005688,0.496571,0.698569,0.024124,0.446720,0.675352,0.020193,0.453202,0.734005
0.600000,0.005673,0.496570,0.698480,0.024100,0.446715,0.675255,0.020200,0.453207,0.733909
0.610000,0.005656,0.496568,0.698369,0.024093,0.446722,0.675152,0.020202,0.453205,0.733812
0.620000,0.005637,0.496564,0.698262,0.024065,0.446720,0.675067,0.020191,0.453239,0.733720
0.630000,0.005614,0.496593,0.698156,0.024030,0.446719,0.674975,0.020198,0.453265,0.733612
0.640000,0.005597,0.496594,0.698049,0.023993,0.446730,0.674883,0.020183,0.453273,0.733501
0.650000,0.005570,0.496623,0.697951,0.023960,0.446724,0.674794,0.020177,0.453301,0.733417
0.660000,0.005536,0.496636,0.697867,0.023926,0.446735,0.674730,0.020160,0.453336,0.733332
0.670000,0.005510,0.496655,0.697791,0.023891,0.446748,0.674651,0.020141,0.453364,0.733256
0.680000,0.005477,0.496670,0.697725,0.023847,0.446759,0.674594,0.020119,0.453376,0.733191
0.690000,0.005426,0.496648,0.697652,0.023812,0.446752,0.674546,0.020087,0.453372,0.733131
0.700000,0.005405,0.496640,0.697589,0.023774,0.446738,0.674504,0.020067,0.453363,0.733085
0.710000,0.005372,0.496633,0.697556,0.023733,0.446725,0.674461,0.020033,0.453360,0.733038
0.720000,0.005335,0.496625,0.697533,0.023694,0.446736,0.674428,0.019999,0.453342,0.733008
0.730000,0.005303,0.496621,0.697512,0.023656,0.446725,0.674398,0.019958,0.453326,0.732968
0.740000,0.005277,0.496606,0.697503,0.023624,0.446715,0.674380,0.019927,0.453293,0.732948
0.750000,0.005254,0.496592,0.697504,0.023589,0.446702,0.674365,0.019891,0.453281,0.732937
0.760000,0.005231,0.496580,0.697510,0.023568,0.446690,0.674358,0.019868,0.453246,0.732930
0.770000,0.005220,0.496554,0.697522,0.023542,0.446679,0.674357,0.019826,0.453246,0.732927
0.780000,0.005192,0.496546,0.697531,0.023523,0.446683,0.674344,0.019816,0.453185,0.732922
0.790000,0.005180,0.496521,0.697541,0.023504,0.446662,0.674339,0.019807,0.453143,0.732911
0.800000,0.005190,0.496484,0.697548,0.023496,0.446635,0.674331,0.019805,0.453094,0.732902
0.810000,0.005194,0.496455,0.697553,0.023490,0.446616,0.674317,0.019799,0.453056,0.732895
0.820000,0.005204,0.496428,0.697562,0.023498,0.446575,0.674305,0.019797,0.453015,0.732884
0.830000,0.005228,0.496383,0.697557,0.023512,0.446547,0.674283,0.019806,0.452956,0.732874
0.840000,0.005256,0.496351,0.697555,0.023511,0.446511,0.674265,0.019822,0.452910,0.732850
0.850000,0.005275,0.496312,0.697545,0.023524,0.446459,0.674237,0.019839,0.452860,0.732825
0.860000,0.005314,0.496269,0.697521,0.023532,0.446410,0.674208,0.019862,0.452812,0.732796
0.870000,0.005350,0.496218,0.697472,0.023549,0.446373,0.674164,0.019881,0.452771,0.732760
0.880000,0.005384,0.496187,0.697439,0.023537,0.446350,0.674109,0.019900,0.452746,0.732717
0.890000,0.005398,0.496155,0.697399,0.023549,0.446323,0.674043,0.019922,0.452701,0.732662
0.900000,0.005422,0.496126,0.697358,0.023542,0.446299,0.673986,0.019930,0.452667,0.732612
0.910000,0.005432,0.496109,0.697307,0.023540,0.446263,0.673920,0.019932,0.452649,0.732558
0.920000,0.005433,0.496097,0.697245,0.023526,0.446234,0.673840,0.019942,0.452615,0.732491
0.930000,0.005436,0.496077,0.697182,0.023511,0.446211,0.673770,0.019939,0.452600,0.732421
0.940000,0.005420,0.496072,0.697104,0.023480,0.446197,0.673689,0.019935,0.452599,0.732337
0.950000,0.005406,0.496081,0.697028,0.023462,0.446186,0.673607,0.019936,0.452602,0.732266
0.960000,0.005380,0.496088,0.696946,0.023427,0.446187,0.673520,0.019922,0.452605,0.732197
0.970000,0.005334,0.496090,0.696862,0.023412,0.446192,0.673425,0.019907,0.452626,0.732121
