Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.622337,0.078533,0.393332,0.575969,0.063346,0.362886,0.628008,0.076158,0.337965
0.010000,0.622359,0.078521,0.393335,0.575975,0.063348,0.362894,0.628015,0.076178,0.337972
0.020000,0.622376,0.078530,0.393351,0.576004,0.063355,0.362903,0.628031,0.076201,0.337979
0.030000,0.622421,0.078507,0.393363,0.576018,0.063376,0.362904,0.628046,0.076200,0.337998
0.040000,0.622414,0.078560,0.393370,0.576042,0.063393,0.362912,0.628081,0.076209,0.338000
0.050000,0.622470,0.078537,0.393396,0.576083,0.063398,0.362921,0.628121,0.076264,0.338053
0.060000,0.622487,0.078537,0.393409,0.576092,0.063407,0.362924,0.628151,0.076262,0.338076
0.070000,0.622528,0.078589,0.393440,0.576134,0.063465,0.362937,0.628184,0.076264,0.338090
0.080000,0.622549,0.078629,0.393467,0.576159,0.063420,0.362949,0.628201,0.076283,0.338108
0.090000,0.622572,0.078648,0.393479,0.576189,0.063469,0.362973,0.628229,0.076299,0.338135
0.100000,0.622596,0.078634,0.393509,0.576208,0.063464,0.363001,0.628241,0.076305,0.338160
0.110000,0.622603,0.078682,0.393562,0.576234,0.063471,0.363029,0.628267,0.076311,0.338205
0.120000,0.622627,0.078670,0.393599,0.576257,0.063473,0.363049,0.628285,0.076317,0.338240
0.130000,0.622624,0.078668,0.393626,0.576275,0.063451,0.363073,0.628311,0.076292,0.338270
0.140000,0.622642,0.078653,0.393653,0.576280,0.063433,0.363089,0.628354,0.076323,0.338312
0.150000,0.622641,0.078640,0.393678,0.576290,0.063433,0.363118,0.628340,0.076244,0.338333
0.160000,0.622636,0.078629,0.393707,0.576298,0.063411,0.363132,0.628371,0.076287,0.338375
0.170000,0.622629,0.078619,0.393732,0.576288,0.063381,0.363148,0.628368,0.076269,0.338402
0.180000,0.622632,0.078622,0.393774,0.576287,0.063380,0.363166,0.628373,0.076255,0.338425
0.190000,0.622628,0.078621,0.393806,0.576295,0.063376,0.363187,0.628367,0.076275,0.338463
0.200000,0.622639,0.078631,0.393813,0.576305,0.063396,0.363221,0.628377,0.076264,0.338484
0.210000,0.622633,0.078638,0.393845,0.576315,0.063366,0.363223,0.628394,0.076227,0.338508
0.220000,0.622636,0.078634,0.393849,0.576324,0.063396,0.363243,0.628389,0.076272,0.338524
0.230000,0.622650,0.078624,0.393858,0.576308,0.063352,0.363246,0.628402,0.076237,0.338545
0.240000,0.622656,0.078635,0.393862,0.576331,0.063404,0.363271,0.628384,0.076292,0.338545
0.250000,0.622658,0.078642,0.393856,0.576319,0.063382,0.363259,0.628405,0.076257,0.338558
0.260000,0.622660,0.078659,0.393872,0.576330,0.063383,0.363261,0.628406,0.076261,0.338566
0.270000,0.622657,0.078662,0.393854,0.576330,0.063404,0.363246,0.628394,0.076310,0.338548
0.280000,0.622654,0.078673,0.393849,0.576338,0.063418,0.363229,0.628389,0.076318,0.338543
0.290000,0.622649,0.078672,0.393827,0.576331,0.063437,0.363216,0.628396,0.076328,0.338549
0.300000,0.622639,0.078695,0.393826,0.576337,0.063443,0.363194,0.628396,0.076337,0.338530
0.310000,0.622637,0.078691,0.393808,0.576324,0.063444,0.363168,0.628409,0.076340,0.338522
0.320000,0.622648,0.078687,0.393799,0.576331,0.063474,0.363166,0.628411,0.076330,0.338514
0.330000,0.622647,0.078674,0.393786,0.576322,0.063463,0.363140,0.628409,0.076345,0.338528
0.340000,0.622654,0.078664,0.393816,0.576333,0.063483,0.363145,0.628414,0.076315,0.338523
0.350000,0.622645,0.078663,0.393807,0.576328,0.063489,0.363148,0.628400,0.076350,0.338544
0.360000,0.622636,0.078644,0.393826,0.576307,0.063471,0.363138,0.628402,0.076338,0.338546
0.370000,0.622612,0.078636,0.393840,0.576294,0.063480,0.363151,0.628384,0.076328,0.338557
0.380000,0.622592,0.078590,0.393831,0.576266,0.063463,0.363127,0.628362,0.076323,0.338560
0.390000,0.622563,0.078537,0.393811,0.576246,0.063423,0.363113,0.628362,0.076273,0.338555
0.400000,0.622538,0.078428,0.393775,0.576218,0.063383,0.363094,0.628331,0.076246,0.338546
0.410000,0.622515,0.078386,0.393744,0.576190,0.063348,0.363058,0.628306,0.076194,0.338515
0.420000,0.622488,0.078340,0.393724,0.576164,0.063328,0.363033,0.628294,0.076115,0.338498
0.430000,0.622463,0.078307,0.393697,0.576140,0.063294,0.362995,0.628289,0.076096,0.338464
0.440000,0.622445,0.078277,0.393681,0.576118,0.063266,0.362970,0.628274,0.076019,0.338451
0.450000,0.622427,0.078247,0.393672,0.576099,0.063260,0.362939,0.628263,0.075956,0.338431
0.460000,0.622419,0.078175,0.393652,0.576077,0.063234,0.362930,0.628260,0.075910,0.338412
0.470000,0.622387,0.078118,0.393653,0.576050,0.063200,0.362919,0.628230,0.075874,0.338427
0.480000,0.622357,0.078074,0.393663,0.576021,0.063171,0.362935,0.628188,0.075847,0.338430
0.490000,0.622318,0.077999,0.393682,0.575978,0.063121,0.362930,0.628159,0.075812,0.338430
0.500000,0.622301,0.077901,0.393702,0.575939,0.063104,0.362933,0.628082,0.075768,0.338429
0.510000,0.622266,0.077851,0.393703,0.575900,0.063061,0.362921,0.628046,0.075738,0.338422
0.520000,0.622246,0.077788,0.393691,0.575863,0.063024,0.362904,0.628031,0.075699,0.338419
0.530000,0.622220,0.077780,0.393681,0.575848,0.063029,0.362882,0.628013,0.075657,0.338398
0.540000,0.622208,0.077749,0.393664,0.575799,0.062969,0.362814,0.628011,0.075625,0.338365
0.550000,0.622205,0.077745,0.393645,0.575800,0.062954,0.362792,0.628022,0.075592,0.338334
0.560000,0.622163,0.077808,0.393614,0.575782,0.062946,0.362764,0.628012,0.075585,0.338315
0.570000,0.622155,0.077797,0.393596,0.575781,0.062944,0.362742,0.627993,0.075593,0.338292
0.580000,0.622143,0.077824,0.393568,0.575772,0.062955,0.362729,0.627984,0.075619,0.338279
0.590000,0.622130,0.077851,0.393556,0.575759,0.062948,0.362706,0.627973,0.075610,0.338252
0.600000,0.622131,0.077868,0.393541,0.575763,0.062970,0.362691,0.627974,0.075626,0.338225
0.610000,0.622133,0.077895,0.393521,0.575768,0.062969,0.362669,0.627975,0.075620,0.338205
0.620000,0.622164,0.077860,0.393468,0.575773,0.062991,0.362650,0.627974,0.075646,0.338183
0.630000,0.622142,0.077912,0.393440,0.575777,0.063009,0.362618,0.627992,0.075646,0.338157
0.640000,0.622138,0.077943,0.393427,0.575786,0.063022,0.362606,0.627977,0.075678,0.338131
0.650000,0.622161,0.077981,0.393468,0.575784,0.063041,0.362603,0.627990,0.075689,0.338132
0.660000,0.622132,0.078022,0.393450,0.575784,0.063054,0.362600,0.627978,0.075719,0.338133
0.670000,0.622138,0.078036,0.393457,0.575789,0.063069,0.362601,0.627981,0.075724,0.338139
0.680000,0.622143,0.078041,0.393465,0.575785,0.063085,0.362607,0.627968,0.075762,0.338152
0.690000,0.622168,0.078050,0.393489,0.575797,0.063116,0.362615,0.627969,0.075785,0.338154
0.700000,0.622177,0.078073,0.393493,0.575799,0.063126,0.362627,0.627983,0.075795,0.338160
0.710000,0.622172,0.078127,0.393498,0.575813,0.063167,0.362644,0.627996,0.075826,0.338182
0.720000,0.622215,0.078099,0.393524,0.575818,0.063191,0.362656,0.627998,0.075867,0.338207
0.730000,0.622217,0.078133,0.393549,0.575827,0.063231,0.362678,0.628003,0.075905,0.338232
0.740000,0.622227,0.078141,0.393567,0.575842,0.063233,0.362690,0.628051,0.075925,0.338257
0.750000,0.622233,0.078172,0.393576,0.575880,0.063317,0.362747,0.628016,0.075947,0.338269
0.760000,0.622249,0.078207,0.393599,0.575886,0.063334,0.362752,0.628050,0.075990,0.338301
0.770000,0.622281,0.078223,0.393616,0.575914,0.063369,0.362769,0.628076,0.076021,0.338312
0.780000,0.622300,0.078238,0.393624,0.575930,0.063395,0.362773,0.628097,0.076024,0.338324
0.790000,0.622310,0.078275,0.393625,0.575939,0.063419,0.362773,0.628114,0.076046,0.338334
0.800000,0.622313,0.078283,0.393637,0.575948,0.063423,0.362793,0.628127,0.076063,0.338351
0.810000,0.622322,0.078301,0.393663,0.575951,0.063427,0.362815,0.628134,0.076053,0.338367
0.820000,0.622308,0.078305,0.393692,0.575942,0.063424,0.362840,0.628119,0.076066,0.338392
0.830000,0.622302,0.078321,0.393718,0.575939,0.063438,0.362859,0.628103,0.076075,0.338414
0.840000,0.622270,0.078336,0.393758,0.575931,0.063432,0.362874,0.628095,0.076082,0.338435
0.850000,0.622259,0.078342,0.393767,0.575904,0.063424,0.362874,0.628078,0.076071,0.338439
0.860000,0.622245,0.078347,0.393759,0.575894,0.063435,0.362890,0.628065,0.076066,0.338451
0.870000,0.622240,0.078348,0.393766,0.575888,0.063440,0.362897,0.628048,0.076076,0.338465
0.880000,0.622234,0.078365,0.393772,0.575877,0.063438,0.362881,0.628056,0.076047,0.338450
0.890000,0.622233,0.078361,0.393760,0.575885,0.063451,0.362882,0.628042,0.076060,0.338455
0.900000,0.622230,0.078346,0.393762,0.575879,0.063437,0.362874,0.628039,0.076043,0.338447
0.910000,0.622210,0.078365,0.393764,0.575852,0.063422,0.362865,0.628031,0.076045,0.338432
0.920000,0.622219,0.078338,0.393752,0.575858,0.063423,0.362863,0.628024,0.076044,0.338442
0.930000,0.622214,0.078350,0.393766,0.575854,0.063435,0.362861,0.628012,0.076043,0.338433
0.940000,0.622218,0.078329,0.393745,0.575846,0.063425,0.362848,0.628008,0.076045,0.338431
0.950000,0.622212,0.078340,0.393739,0.575840,0.063443,0.362836,0.627998,0.076066,0.338420
0.960000,0.622207,0.078338,0.393723,0.575800,0.063372,0.362766,0.628004,0.076038,0.338391
0.970000,0.622211,0.078338,0.393702,0.575800,0.063403,0.362757,0.627962,0.076035,0.338369
0.980000,0.622213,0.078325,0.393675,0.575792,0.063390,0.362729,0.627959,0.076041,0.338341
0.990000,0.622196,0.078357,0.393660,0.575788,0.063406,0.362684,0.627958,0.076036,0.338322
1.000000,0.622140,0.078387,0.393634,0.575771,0.063413,0.362657,0.627947,0.076045,0.338297
1.010000,0.622148,0.078380,0.393602,0.575761,0.063400,0.362632,0.627934,0.076070,0.338271
1.020000,0.622136,0.078423,0.393600,0.575744,0.063429,0.362613,0.627923,0.076081,0.338258
1.030000,0.622137,0.078413,0.393591,0.575739,0.063440,0.362599,0.627922,0.076107,0.338242
1.040000,0.622154,0.078445,0.393581,0.575759,0.063463,0.362590,0.627917,0.076141,0.338237
1.050000,0.622160,0.078470,0.393564,0.575761,0.063492,0.362596,0.627957,0.076182,0.338234
1.060000,0.622162,0.078490,0.393553,0.575764,0.063519,0.362590,0.627954,0.076196,0.338230
1.070000,0.622154,0.078501,0.393554,0.575758,0.063528,0.362569,0.627945,0.076212,0.338213
1.080000,0.622155,0.078531,0.393555,0.575756,0.063533,0.362550,0.627939,0.076239,0.338203
1.090000,0.622148,0.078555,0.393542,0.575759,0.063554,0.362533,0.627907,0.076228,0.338175
1.100000,0.622144,0.078567,0.393538,0.575754,0.063539,0.362488,0.627945,0.076245,0.338178
1.110000,0.622152,0.078560,0.393532,0.575745,0.063536,0.362460,0.627954,0.076254,0.338177
1.120000,0.622150,0.078565,0.393521,0.575753,0.063548,0.362454,0.627961,0.076240,0.338163
1.130000,0.622149,0.078567,0.393512,0.575757,0.063549,0.362440,0.627973,0.076237,0.338157
1.140000,0.622152,0.078573,0.393533,0.575761,0.063544,0.362426,0.627983,0.076222,0.338152
1.150000,0.622153,0.078578,0.393534,0.575765,0.063566,0.362428,0.627991,0.076218,0.338157
1.160000,0.622162,0.078562,0.393548,0.575770,0.063529,0.362436,0.627996,0.076194,0.338169
1.170000,0.622146,0.078570,0.393575,0.575769,0.063511,0.362454,0.627999,0.076192,0.338189
1.180000,0.622156,0.078538,0.393595,0.575765,0.063512,0.362507,0.627999,0.076176,0.338219
1.190000,0.622146,0.078544,0.393643,0.575768,0.063505,0.362536,0.627986,0.076182,0.338259
1.200000,0.622131,0.078524,0.393676,0.575759,0.063477,0.362578,0.627983,0.076151,0.338287
1.210000,0.622122,0.078510,0.393711,0.575751,0.063443,0.362604,0.627971,0.076128,0.338314
1.220000,0.622113,0.078485,0.393732,0.575740,0.063413,0.362632,0.627918,0.076116,0.338345
1.230000,0.622108,0.078464,0.393753,0.575747,0.063393,0.362667,0.627925,0.076077,0.338358
1.240000,0.622100,0.078447,0.393781,0.575746,0.063369,0.362678,0.627911,0.076081,0.338384
1.250000,0.622128,0.078408,0.393822,0.575737,0.063368,0.362702,0.627903,0.076054,0.338406
1.260000,0.622131,0.078390,0.393840,0.575737,0.063326,0.362713,0.627911,0.076025,0.338417
1.270000,0.622048,0.078008,0.393642,0.575738,0.063309,0.362718,0.627923,0.076001,0.338426
1.280000,0.622054,0.077997,0.393644,0.575782,0.063352,0.362762,0.627926,0.076005,0.338447
1.290000,0.622071,0.077994,0.393656,0.575762,0.063288,0.362740,0.627941,0.075992,0.338450
1.300000,0.622088,0.077984,0.393662,0.575782,0.063284,0.362745,0.627976,0.075937,0.338459
1.310000,0.622096,0.077978,0.393664,0.575794,0.063277,0.362744,0.627981,0.075939,0.338466
1.320000,0.622099,0.077978,0.393659,0.575828,0.063330,0.362780,0.627998,0.075921,0.338452
1.330000,0.622112,0.077948,0.393656,0.575807,0.063277,0.362743,0.628004,0.075942,0.338459
1.340000,0.622110,0.077963,0.393658,0.575810,0.063271,0.362748,0.628010,0.075915,0.338464
1.350000,0.622081,0.077986,0.393658,0.575812,0.063266,0.362736,0.627997,0.075919,0.338454
1.360000,0.622087,0.077978,0.393652,0.575802,0.063269,0.362737,0.627996,0.075933,0.338453
1.370000,0.622107,0.077969,0.393655,0.575829,0.063295,0.362754,0.627993,0.075948,0.338450
1.380000,0.622091,0.078000,0.393645,0.575803,0.063280,0.362712,0.627999,0.075973,0.338426
1.390000,0.622115,0.077999,0.393634,0.575850,0.063309,0.362737,0.628012,0.075981,0.338416
1.400000,0.622110,0.078034,0.393629,0.575857,0.063322,0.362723,0.628064,0.076005,0.338421
1.410000,0.622139,0.078034,0.393603,0.575851,0.063314,0.362682,0.628075,0.076021,0.338411
1.420000,0.622156,0.078066,0.393596,0.575871,0.063325,0.362672,0.628084,0.076051,0.338385
1.430000,0.622177,0.078083,0.393558,0.575883,0.063351,0.362656,0.628095,0.076072,0.338369
1.440000,0.622192,0.078119,0.393558,0.575902,0.063347,0.362644,0.628101,0.076107,0.338343
1.450000,0.622225,0.078137,0.393537,0.575955,0.063416,0.362667,0.628116,0.076146,0.338325
1.460000,0.622249,0.078191,0.393509,0.575970,0.063444,0.362641,0.628135,0.076162,0.338290
1.470000,0.622266,0.078236,0.393459,0.575997,0.063477,0.362630,0.628136,0.076230,0.338252
1.480000,0.622266,0.078314,0.393398,0.576015,0.063495,0.362609,0.628138,0.076290,0.338212
1.490000,0.622286,0.078372,0.393365,0.576033,0.063515,0.362583,0.628144,0.076313,0.338177
1.500000,0.622311,0.078415,0.393329,0.576052,0.063558,0.362565,0.628143,0.076354,0.338134
1.510000,0.622316,0.078475,0.393293,0.576065,0.063549,0.362534,0.628155,0.076393,0.338089
1.520000,0.622321,0.078525,0.393258,0.576094,0.063611,0.362522,0.628174,0.076432,0.338055
1.530000,0.622331,0.078594,0.393246,0.576107,0.063638,0.362500,0.628191,0.076467,0.338011
1.540000,0.622345,0.078636,0.393220,0.576127,0.063644,0.362483,0.628188,0.076517,0.338001
1.550000,0.622366,0.078755,0.393186,0.576137,0.063674,0.362481,0.628209,0.076506,0.337970
1.560000,0.622398,0.078786,0.393222,0.576152,0.063688,0.362470,0.628223,0.076579,0.337952
1.570000,0.622406,0.078783,0.393163,0.576173,0.063720,0.362452,0.628242,0.076581,0.337933
1.580000,0.622455,0.078800,0.393196,0.576175,0.063727,0.362468,0.628248,0.076623,0.337934
1.590000,0.622436,0.078818,0.393151,0.576198,0.063743,0.362473,0.628268,0.076632,0.337932
1.600000,0.622450,0.078813,0.393149,0.576198,0.063751,0.362468,0.628263,0.076657,0.337942
1.610000,0.622468,0.078826,0.393195,0.576217,0.063762,0.362457,0.628277,0.076675,0.337950
1.620000,0.622451,0.078830,0.393167,0.576207,0.063793,0.362468,0.628282,0.076693,0.337962
1.630000,0.622485,0.078815,0.393205,0.576228,0.063819,0.362441,0.628295,0.076726,0.337941
1.640000,0.622491,0.078823,0.393209,0.576236,0.063811,0.362425,0.628305,0.076722,0.337941
1.650000,0.622487,0.078807,0.393201,0.576239,0.063852,0.362423,0.628304,0.076748,0.337936
1.660000,0.622495,0.078809,0.393200,0.576239,0.063823,0.362387,0.628308,0.076758,0.337924
1.670000,0.622474,0.078801,0.393144,0.576250,0.063814,0.362361,0.628329,0.076742,0.337918
1.680000,0.622488,0.078776,0.393192,0.576234,0.063860,0.362368,0.628317,0.076763,0.337926
1.690000,0.622476,0.078749,0.393188,0.576222,0.063820,0.362330,0.628315,0.076748,0.337924
1.700000,0.622412,0.078778,0.393178,0.576232,0.063790,0.362340,0.628308,0.076714,0.337927
1.710000,0.622423,0.078675,0.393137,0.576223,0.063798,0.362346,0.628302,0.076684,0.337927
1.720000,0.622410,0.078602,0.393186,0.576210,0.063753,0.362342,0.628303,0.076648,0.337953
1.730000,0.622426,0.078622,0.393133,0.576222,0.063753,0.362363,0.628301,0.076631,0.337943
1.740000,0.622400,0.078568,0.393119,0.576187,0.063732,0.362388,0.628278,0.076597,0.337935
1.750000,0.622418,0.078542,0.393176,0.576172,0.063700,0.362401,0.628271,0.076545,0.337943
1.760000,0.622380,0.078554,0.393195,0.576143,0.063641,0.362437,0.628236,0.076516,0.337950
1.770000,0.622336,0.078558,0.393170,0.576120,0.063622,0.362453,0.628209,0.076485,0.337962
1.780000,0.622364,0.078506,0.393209,0.576114,0.063592,0.362481,0.628156,0.076424,0.337978
1.790000,0.622353,0.078497,0.393202,0.576108,0.063557,0.362499,0.628138,0.076394,0.337993
1.800000,0.622316,0.078493,0.393182,0.576106,0.063522,0.362513,0.628138,0.076349,0.337984
1.810000,0.622347,0.078460,0.393222,0.576094,0.063442,0.362524,0.628136,0.076307,0.337990
1.820000,0.622346,0.078442,0.393225,0.576086,0.063420,0.362537,0.628134,0.076249,0.337990
1.830000,0.622367,0.078427,0.393242,0.576098,0.063387,0.362546,0.628121,0.076223,0.337996
1.840000,0.622360,0.078390,0.393235,0.576104,0.063360,0.362568,0.628130,0.076187,0.338014
1.850000,0.622355,0.078395,0.393263,0.576094,0.063319,0.362587,0.628121,0.076167,0.338032
1.860000,0.622357,0.078366,0.393262,0.576097,0.063276,0.362606,0.628120,0.076122,0.338042
1.870000,0.622343,0.078368,0.393290,0.576093,0.063257,0.362626,0.628118,0.076103,0.338058
1.880000,0.622350,0.078346,0.393293,0.576099,0.063229,0.362650,0.628109,0.076095,0.338078
1.890000,0.622352,0.078338,0.393308,0.576109,0.063219,0.362659,0.628121,0.076077,0.338101
1.900000,0.622368,0.078336,0.393333,0.576116,0.063237,0.362681,0.628137,0.076078,0.338115
1.910000,0.622393,0.078334,0.393354,0.576125,0.063247,0.362704,0.628149,0.076063,0.338125
1.920000,0.622414,0.078347,0.393380,0.576145,0.063259,0.362712,0.628165,0.076069,0.338140
1.930000,0.622433,0.078368,0.393389,0.576157,0.063301,0.362740,0.628173,0.076110,0.338175
1.940000,0.622435,0.078399,0.393407,0.576175,0.063382,0.362765,0.628188,0.076151,0.338197
1.950000,0.622447,0.078440,0.393427,0.576175,0.063442,0.362782,0.628198,0.076228,0.338227
1.960000,0.622456,0.078493,0.393457,0.576189,0.063485,0.362799,0.628199,0.076323,0.338258
1.970000,0.622493,0.078659,0.393528,0.576203,0.063609,0.362821,0.628224,0.076417,0.338292
1.980000,0.622506,0.078722,0.393560,0.576219,0.063716,0.362834,0.628262,0.076531,0.338326
1.990000,0.622532,0.078812,0.393622,0.576263,0.063849,0.362860,0.628324,0.076703,0.338365
2.000000,0.622562,0.078887,0.393678,0.576305,0.064022,0.362904,0.628378,0.076843,0.338441
2.010000,0.622624,0.078976,0.393791,0.576343,0.064249,0.362941,0.628432,0.077024,0.338525
2.020000,0.622673,0.079065,0.393888,0.576390,0.064481,0.363002,0.628468,0.077315,0.338683
2.030000,0.622724,0.079188,0.394001,0.576446,0.064763,0.363051,0.628570,0.077570,0.338795
2.040000,0.622773,0.079373,0.394184,0.576548,0.065063,0.363073,0.628702,0.077875,0.338963
2.050000,0.622790,0.079642,0.394454,0.576630,0.065399,0.363122,0.628867,0.078196,0.339131
2.060000,0.622893,0.079746,0.394589,0.576871,0.066199,0.363228,0.629013,0.078547,0.339327
2.070000,0.623019,0.079844,0.394799,0.576992,0.066623,0.363294,0.629201,0.078879,0.339550
2.080000,0.623108,0.080002,0.394987,0.576965,0.066767,0.363294,0.629417,0.079346,0.339759
2.090000,0.623267,0.080138,0.395191,0.577141,0.067310,0.363387,0.629706,0.079658,0.340021
